latitude,longitude,datetime,temp,sealevelpressure
48.202,-114.315,2019-08-11T17:00:00,18.4,1014.1
48.202,-114.315,2019-08-11T18:00:00,18.9,1015
48.202,-114.315,2019-08-11T19:00:00,16.7,1016
48.202,-114.315,2019-08-11T20:00:00,15.6,1015.8
48.202,-114.315,2019-08-11T21:00:00,13.8,1016.5
48.202,-114.315,2019-08-11T22:00:00,13.8,1017
48.202,-114.315,2019-08-11T23:00:00,13.8,1017
48.202,-114.315,2019-08-12T00:00:00,13.8,1016.9
48.202,-114.315,2019-08-12T01:00:00,14.4,1016.9
48.202,-114.315,2019-08-12T02:00:00,14.4,1017.4
48.202,-114.315,2019-08-12T03:00:00,14.4,1017.1
48.202,-114.315,2019-08-12T04:00:00,14.4,1017.5
48.202,-114.315,2019-08-12T05:00:00,14.4,1017.7
48.202,-114.315,2019-08-12T06:00:00,14.4,1017.8
48.202,-114.315,2019-08-12T07:00:00,14.4,1018.2
48.202,-114.315,2019-08-12T08:00:00,14.4,1018.6
48.202,-114.315,2019-08-12T09:00:00,15,1018.9
48.202,-114.315,2019-08-12T10:00:00,15.6,1019.2
48.202,-114.315,2019-08-12T11:00:00,16.2,1019.5
48.202,-114.315,2019-08-12T12:00:00,16.2,1019.8
48.202,-114.315,2019-08-12T13:00:00,17.2,1019.7
48.202,-114.315,2019-08-12T14:00:00,18.4,1019.7
48.202,-114.315,2019-08-12T15:00:00,19.3,1019.6
48.202,-114.315,2019-08-12T16:00:00,20,1019.4
48.202,-114.315,2019-08-12T17:00:00,20,1019.4
48.202,-114.315,2019-08-12T18:00:00,19.3,1019.5
48.202,-114.315,2019-08-12T19:00:00,19.3,1019.3
48.202,-114.315,2019-08-12T20:00:00,18.9,1019.3
48.202,-114.315,2019-08-12T21:00:00,16.2,1019.7
48.202,-114.315,2019-08-12T22:00:00,13.8,1020.2
48.202,-114.315,2019-08-12T23:00:00,10.7,1020.9
48.202,-114.315,2019-08-13T00:00:00,9.4,1021.1
48.202,-114.315,2019-08-13T01:00:00,9.4,1021.4
48.202,-114.315,2019-08-13T02:00:00,7.8,1021.6
48.202,-114.315,2019-08-13T03:00:00,6.7,1021.5
48.202,-114.315,2019-08-13T04:00:00,7.2,1021.5
48.202,-114.315,2019-08-13T05:00:00,6.1,1021.7
48.202,-114.315,2019-08-13T06:00:00,6.1,1022.2
48.202,-114.315,2019-08-13T07:00:00,5.7,1022.4
48.202,-114.315,2019-08-13T08:00:00,8.9,1022.6
48.202,-114.315,2019-08-13T09:00:00,14.4,1022.3
48.202,-114.315,2019-08-13T10:00:00,17.2,1022.3
48.202,-114.315,2019-08-13T11:00:00,18.4,1022.3
48.202,-114.315,2019-08-13T12:00:00,21.2,1022
48.202,-114.315,2019-08-13T13:00:00,22.2,1021.6
48.202,-114.315,2019-08-13T14:00:00,23.3,1021.3
48.202,-114.315,2019-08-13T15:00:00,25,1020.7
48.202,-114.315,2019-08-13T16:00:00,25.6,1020.4
48.202,-114.315,2019-08-13T17:00:00,26.2,1020
48.202,-114.315,2019-08-13T18:00:00,25.6,1019.5
48.202,-114.315,2019-08-13T19:00:00,25.6,1019.4
48.202,-114.315,2019-08-13T20:00:00,25,1019
48.202,-114.315,2019-08-13T21:00:00,18.4,1019.1
48.202,-114.315,2019-08-13T22:00:00,15,1019.6
48.202,-114.315,2019-08-13T23:00:00,12.9,1019.9
48.202,-114.315,2019-08-14T00:00:00,11.2,1019.9
48.202,-114.315,2019-08-14T01:00:00,9.4,1019.8
48.202,-114.315,2019-08-14T02:00:00,8.9,1019.8
48.202,-114.315,2019-08-14T03:00:00,8.9,1019.7
48.202,-114.315,2019-08-14T04:00:00,8.4,1019.7
48.202,-114.315,2019-08-14T05:00:00,7.8,1019.8
48.202,-114.315,2019-08-14T06:00:00,6.7,1020
48.202,-114.315,2019-08-14T07:00:00,7.2,1020.4
48.202,-114.315,2019-08-14T08:00:00,8.9,1020.5
48.202,-114.315,2019-08-14T09:00:00,14.4,1021.1
48.202,-114.315,2019-08-14T10:00:00,16.7,1021
48.202,-114.315,2019-08-14T11:00:00,18.4,1021.1
48.202,-114.315,2019-08-14T12:00:00,19.3,1020.7
48.202,-114.315,2019-08-14T13:00:00,21.2,1020.3
48.202,-114.315,2019-08-14T14:00:00,23.9,1019.5
48.202,-114.315,2019-08-14T15:00:00,26.2,1018.3
48.202,-114.315,2019-08-14T16:00:00,25.6,1018.6
48.202,-114.315,2019-08-14T17:00:00,23.3,1018.7
48.202,-114.315,2019-08-14T18:00:00,23.3,1018.1
48.202,-114.315,2019-08-14T19:00:00,22.9,1018.1
48.202,-114.315,2019-08-14T20:00:00,18.4,1018.4
48.202,-114.315,2019-08-14T21:00:00,17.9,1018.2
48.202,-114.315,2019-08-14T22:00:00,16.2,1020.3
48.202,-114.315,2019-08-14T23:00:00,13.4,1020
48.202,-114.315,2019-08-15T00:00:00,12.2,1019.8
48.202,-114.315,2019-08-15T01:00:00,10.7,1019.9
48.202,-114.315,2019-08-15T02:00:00,9.4,1019.8
48.202,-114.315,2019-08-15T03:00:00,8.9,1019.5
48.202,-114.315,2019-08-15T04:00:00,8.4,1019.5
48.202,-114.315,2019-08-15T05:00:00,7.2,1020.1
48.202,-114.315,2019-08-15T06:00:00,7.2,1020.3
48.202,-114.315,2019-08-15T07:00:00,6.7,1020.5
48.202,-114.315,2019-08-15T08:00:00,11.2,1020.6
48.202,-114.315,2019-08-15T09:00:00,15,1020.3
48.202,-114.315,2019-08-15T10:00:00,16.7,1019.7
48.202,-114.315,2019-08-15T11:00:00,18.4,1019.5
48.202,-114.315,2019-08-15T12:00:00,20,1019.3
48.202,-114.315,2019-08-15T13:00:00,22.2,1018.3
48.202,-114.315,2019-08-15T14:00:00,23.9,1017.4
48.202,-114.315,2019-08-15T15:00:00,25.6,1016.2
48.202,-114.315,2019-08-15T16:00:00,25.6,1015.1
48.202,-114.315,2019-08-15T17:00:00,27.2,1014.6
48.202,-114.315,2019-08-15T18:00:00,25.6,1014.8
48.202,-114.315,2019-08-15T19:00:00,23.9,1014.3
48.202,-114.315,2019-08-15T20:00:00,22.9,1013.7
48.202,-114.315,2019-08-15T21:00:00,20.6,1013.3
48.202,-114.315,2019-08-15T22:00:00,17.2,1013.7
48.202,-114.315,2019-08-15T23:00:00,15.6,1013.7
48.202,-114.315,2019-08-16T00:00:00,12.2,1013.5
48.202,-114.315,2019-08-16T01:00:00,11.2,1013.5
48.202,-114.315,2019-08-16T02:00:00,10.7,1013.1
48.202,-114.315,2019-08-16T03:00:00,9.4,1012.6
48.202,-114.315,2019-08-16T04:00:00,10.7,1012.4
48.202,-114.315,2019-08-16T05:00:00,9.4,1012.2
48.202,-114.315,2019-08-16T06:00:00,9.4,1012.3
48.202,-114.315,2019-08-16T07:00:00,9.4,1012.5
48.202,-114.315,2019-08-16T08:00:00,12.2,1012.3
48.202,-114.315,2019-08-16T09:00:00,15,1012.5
48.202,-114.315,2019-08-16T10:00:00,17.2,1012.6
48.202,-114.315,2019-08-16T11:00:00,21.2,1012.2
48.202,-114.315,2019-08-16T12:00:00,22.9,1011.8
48.202,-114.315,2019-08-16T13:00:00,23.9,1011.2
48.202,-114.315,2019-08-16T14:00:00,25,1010.4
48.202,-114.315,2019-08-16T15:00:00,25,1010.3
48.202,-114.315,2019-08-16T16:00:00,24.3,1009.7
48.202,-114.315,2019-08-16T17:00:00,24.3,1009.7
48.202,-114.315,2019-08-16T18:00:00,23.9,1010.5
48.202,-114.315,2019-08-16T19:00:00,20,1011.1
48.202,-114.315,2019-08-16T20:00:00,20,1011
48.202,-114.315,2019-08-16T21:00:00,17.9,1011
48.202,-114.315,2019-08-16T22:00:00,15,1011.3
48.202,-114.315,2019-08-16T23:00:00,15,1010.5
48.202,-114.315,2019-08-17T00:00:00,14.4,1010.3
48.202,-114.315,2019-08-17T01:00:00,13.8,1010.1
48.202,-114.315,2019-08-17T02:00:00,12.9,1010.1
48.202,-114.315,2019-08-17T03:00:00,10.7,1011.3
48.202,-114.315,2019-08-17T04:00:00,10.7,1011.1
48.202,-114.315,2019-08-17T05:00:00,10.7,1010.9
48.202,-114.315,2019-08-17T06:00:00,10,1011
48.202,-114.315,2019-08-17T07:00:00,10,1011.7
48.202,-114.315,2019-08-17T08:00:00,10.7,1012
48.202,-114.315,2019-08-17T09:00:00,11.7,1012.4
48.202,-114.315,2019-08-17T10:00:00,13.4,1012.4
48.202,-114.315,2019-08-17T11:00:00,13.8,1012.3
48.202,-114.315,2019-08-17T12:00:00,16.2,1012.2
48.202,-114.315,2019-08-17T13:00:00,17.9,1011.7
48.202,-114.315,2019-08-17T14:00:00,18.4,1011.2
48.202,-114.315,2019-08-17T15:00:00,18.9,1011
48.202,-114.315,2019-08-17T16:00:00,18.9,1010.6
48.202,-114.315,2019-08-17T17:00:00,18.9,1010.3
48.202,-114.315,2019-08-17T18:00:00,18.9,1010.4
48.202,-114.315,2019-08-17T19:00:00,18.4,1010.1
48.202,-114.315,2019-08-17T20:00:00,17.9,1009.9
48.202,-114.315,2019-08-17T21:00:00,16.2,1010.1
48.202,-114.315,2019-08-17T22:00:00,13.8,1010.3
48.202,-114.315,2019-08-17T23:00:00,13.4,1010
