"chamber","state","siteid","stream","year","month","date","processname","process","blanktype","chamber_size","origilsubstrate","substrate","test","amended_unamended","blank_not","air_not","light_dark","surface_area","temp_initial","temp_final","hour_rate","mean_blank_rate","mean_blank_rate_NAzero","correctedflux","correctedflux_nonegs"
"F2","NC","New Hope Creek 2018-05-27","New Hope Creek",2018,"May",2018-05-27,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.017198485,22.3,23.3,0.01682,-0.011135,-0.011135,15.170716102804,15.170716102804
"D12","TX","Pringle Creek 2018-06-09","Pringle Creek",2018,"June",2018-06-09,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.020199167,26.3,28.8,0.20469,-0.00265,-0.00265,95.8046108205023,95.8046108205023
"D3","TX","Pringle Creek 2018-06-09","Pringle Creek",2018,"June",2018-06-09,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.011213941,25.9,28.4,0.01936,-0.00265,-0.00265,18.3188645870945,18.3188645870945
"D7","KS","McDiffit Creek 2018-06-12","McDiffit Creek",2018,"June",2018-06-12,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.01102737,22.2,22.9,0.09088,-0.00903,-0.00903,84.5617162871413,84.5617162871413
"F1","KS","McDiffit Creek 2018-06-12","McDiffit Creek",2018,"June",2018-06-12,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.016891545,22.8,22.9,0.03752,-0.00903,-0.00903,25.7209548721959,25.7209548721959
"F4","KS","McDiffit Creek 2018-06-12","McDiffit Creek",2018,"June",2018-06-12,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.019127883,22.7,22.8,-0.00115,-0.00903,-0.00903,3.84499772748854,3.84499772748854
"D12","KS","Kings Creek 2018-06-13","Kings Creek",2018,"June",2018-06-13,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.013387442,23.7,23.9,0.20576,-0.0088,-0.0088,149.584961787323,149.584961787323
"D5","KS","Kings Creek 2018-06-13","Kings Creek",2018,"June",2018-06-13,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.019246427,23.6,23.8,0.04227,-0.0088,-0.0088,24.7658089126534,24.7658089126534
"D6","MI","Pilgrim River 2018-06-21","Pilgrim River",2018,"June",2018-06-21,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.011173345,15.9,17.4,0.00656,-0.01962,-0.01962,21.8687122492563,21.8687122492563
"F1","MI","Pilgrim River 2018-06-21","Pilgrim River",2018,"June",2018-06-21,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.020988429,15.9,18.2,0.03249,-0.01962,-0.01962,23.1727681952756,23.1727681952756
"D1","MI","Pilgrim River 2018-07-17","Pilgrim River",2018,"July",2018-07-17,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.010644797,18.5,20.5,-0.01987,-0.010085,-0.010085,-8.57946531687421,0
"D5","MI","Pilgrim River 2018-07-17","Pilgrim River",2018,"July",2018-07-17,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.015298691,19.1,20.5,-0.00541,-0.010085,-0.010085,2.85209586449804,2.85209586449804
"D10","NH","Hubbard Brook 2018-08-07","Hubbard Brook",2018,"August",2018-08-07,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.016178556,20.3,20.1,-0.08547,NA,0,-49.3072434894684,0
"D11","NH","Hubbard Brook 2018-08-07","Hubbard Brook",2018,"August",2018-08-07,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.018424334,20.3,20.2,-0.08923,NA,0,-45.2018148028218,0
"D6","NH","Hubbard Brook 2018-08-07","Hubbard Brook",2018,"August",2018-08-07,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.013382522,20.3,20.1,-0.05012,NA,0,-34.9550455935486,0
"F3","NH","Hubbard Brook 2018-08-07","Hubbard Brook",2018,"August",2018-08-07,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.014063101,20.2,20.1,-0.12676,NA,0,-84.1274860596773,0
"F5","NH","Hubbard Brook 2018-08-07","Hubbard Brook",2018,"August",2018-08-07,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.019535376,20.3,20.1,-0.06619,NA,0,-31.6233142035932,0
"F7","NH","Hubbard Brook 2018-08-07","Hubbard Brook",2018,"August",2018-08-07,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.012023998,20.3,20,-0.03192,NA,0,-24.77711656306,0
"D2","NH","Dowst Cate Forest 2018-08-10","Dowst Cate Forest",2018,"August",2018-08-10,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.020385681,22.3,23.1,-0.05978,NA,0,-27.3695377979606,0
"D6","NH","Dowst Cate Forest 2018-08-10","Dowst Cate Forest",2018,"August",2018-08-10,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.015542724,22.3,23.1,-0.21289,NA,0,-127.839452938451,0
"F4","NH","Dowst Cate Forest 2018-08-10","Dowst Cate Forest",2018,"August",2018-08-10,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.018020455,22.3,23.2,-0.05608,NA,0,-29.0455115219529,0
"D5","MA","Hop Brook 2018-08-15","Hop Brook",2018,"August",2018-08-15,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.021806744,19.1,20,-0.01556,NA,0,-6.65971346601156,0
"D9","MA","Hop Brook 2018-08-15","Hop Brook",2018,"August",2018-08-15,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.023422495,19,20.2,-0.66131,NA,0,-263.517044903486,0
"F3","MA","Hop Brook 2018-08-15","Hop Brook",2018,"August",2018-08-15,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.016559153,19.1,20.2,-0.35643,NA,0,-200.896748764867,0
"D10","PR","Rio Guillarte 2019-02-21","Rio Guillarte",2019,"February",2019-02-21,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.021076651,21.5,24.6,-0.001197897857,-0.0015203764145,-0.0015203764145,0.142802567163066,0.142802567163066
"D5","PR","Rio Guillarte 2019-02-21","Rio Guillarte",2019,"February",2019-02-21,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.021681696,21.7,24.1,-0.002260334178,-0.0015203764145,-0.0015203764145,-0.318530084516144,0
"G11","PR","Rio Guillarte 2019-02-21","Rio Guillarte",2019,"February",2019-02-21,"Nfixation_unamended","Nfixation","large Rock","large","rock","Rock","NF","unamended","not","not","Light",0.017383739,21.9,24.1,-0.001576626713,-0.0015203764145,-0.0015203764145,-0.0302007977685353,0
"D2","PR","Rio Cupeyes 2019-02-23","Rio Cupeyes",2019,"February",2019-02-23,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.017580978,22.2,22.7,-0.000991064713,-0.000599139269,-0.000599139269,-0.208064125367011,0
"G4","PR","Rio Cupeyes 2019-02-23","Rio Cupeyes",2019,"February",2019-02-23,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.016513486,22.4,22.5,-0.001291384806,-0.000599139269,-0.000599139269,-0.391253448565211,0
"G6","PR","Rio Cupeyes 2019-02-23","Rio Cupeyes",2019,"February",2019-02-23,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.021057993,22.4,22.6,-0.000518896118,-0.000599139269,-0.000599139269,0.0355654062569021,0.0355654062569021
"D10","PR","Quebrada Prieta 2019-03-03","Quebrada Prieta",2019,"March",2019-03-03,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.018146043,22,21.8,-0.000613378946,NA,0,-0.315488625408122,0
"D4","PR","Quebrada Prieta 2019-03-03","Quebrada Prieta",2019,"March",2019-03-03,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.012514053,21.9,21.7,-0.001003180476,NA,0,-0.748200265413611,0
"D2","PR","Quebrada Sonadora 2019-03-05","Quebrada Sonadora",2019,"March",2019-03-05,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.018045623,20.8,21.1,0.000254774141,-0.003201424666,-0.003201424666,1.78757228453681,1.78757228453681
"D6","PR","Quebrada Sonadora 2019-03-05","Quebrada Sonadora",2019,"March",2019-03-05,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.018966415,21.1,21.1,-0.003410934788,-0.003201424666,-0.003201424666,-0.103099494835125,0
"D3","KS","Kings Creek 2019-05-10","Kings Creek",2019,"May",2019-05-10,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.018953659,12.2,12.5,0.005163767481,-0.003034312212,-0.003034312212,4.03697304399114,4.03697304399114
"D8","KS","Kings Creek 2019-05-10","Kings Creek",2019,"May",2019-05-10,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.019901209,12.2,12.8,0.004034349318,-0.003034312212,-0.003034312212,3.3150837358675,3.3150837358675
"G5","KS","Kings Creek 2019-05-10","Kings Creek",2019,"May",2019-05-10,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.020286359,12.5,12.8,0.000823725195,-0.003034312212,-0.003034312212,1.77500305165653,1.77500305165653
"D10","AZ","Sycamore Creek 2019-05-14","Sycamore Creek",2019,"May",2019-05-14,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.018415249,26.1,27.3,0.000253377274,-0.00158742276,-0.00158742276,0.932965952148316,0.932965952148316
"D3","AZ","Sycamore Creek 2019-05-14","Sycamore Creek",2019,"May",2019-05-14,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.013273692,25.7,27.7,0.004571406901,-0.00158742276,-0.00158742276,4.3305517537497,4.3305517537497
"D5","AZ","Wet Beaver Creek 2019-05-16","Wet Beaver Creek",2019,"May",2019-05-16,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.018555182,18.2,19.9,0.08816238219,-0.00095330778,-0.00095330778,44.8255608444045,44.8255608444045
"G3","AZ","Wet Beaver Creek 2019-05-16","Wet Beaver Creek",2019,"May",2019-05-16,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.017386404,18.4,20.2,0.07533614,-0.00095330778,-0.00095330778,40.9535431217788,40.9535431217788
"G5","AZ","Wet Beaver Creek 2019-05-16","Wet Beaver Creek",2019,"May",2019-05-16,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.030977279,18.4,20.5,0.03079570055,-0.00095330778,-0.00095330778,9.56585237027005,9.56585237027005
"C2","MI","Pilgrim River 2019-06-13","Pilgrim River",2019,"June",2019-06-13,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.015895412,13.5,14.9,-0.01218753468,-0.002194447301,-0.002194447301,-5.86765637388533,0
"C5","MI","Pilgrim River 2019-06-13","Pilgrim River",2019,"June",2019-06-13,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.010768862,13.5,14.9,-0.005835097795,-0.002194447301,-0.002194447301,-3.155338475938,0
"G5","MI","Pilgrim River 2019-06-13","Pilgrim River",2019,"June",2019-06-13,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.013660858,12.5,14.3,0.006616640851,-0.002194447301,-0.002194447301,6.01988709288977,6.01988709288977
"C1","AK","Caribou Creek 2019-07-09","Caribou Creek",2019,"July",2019-07-09,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.015028221,5.8,7.1,-0.002344492869,-0.000947195154,-0.000947195154,-0.867797016027379,0
"C10","AK","Caribou Creek 2019-07-09","Caribou Creek",2019,"July",2019-07-09,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.012750683,6.2,7.3,-0.000318986868,-0.000947195154,-0.000947195154,0.459840256086674,0.459840256086674
"G6","AK","Caribou Creek 2019-07-09","Caribou Creek",2019,"July",2019-07-09,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.014853123,6.7,7.6,-0.001275395013,-0.000947195154,-0.000947195154,-0.206232634308623,0
"C7","AK","Poker Creek 2019-07-10","Poker Creek",2019,"July",2019-07-10,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.018654897,7.5,8.4,-0.0112534985,-0.0066184843695,-0.0066184843695,-2.31896921675133,0
"G2","AK","Poker Creek 2019-07-10","Poker Creek",2019,"July",2019-07-10,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.01230223,7.7,8.6,-0.005514647513,-0.0066184843695,-0.0066184843695,0.837447952715348,0.837447952715348
"C5","WY","Blacktail Deer Creek 2019-07-30","Blacktail Deer Creek",2019,"July",2019-07-30,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.016038324,14,16,0.1316342704,-0.01023289142,-0.01023289142,82.5580971128904,82.5580971128904
"C6","WY","Blacktail Deer Creek 2019-07-30","Blacktail Deer Creek",2019,"July",2019-07-30,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.015372578,14,16,0.8145524438,-0.01023289142,-0.01023289142,500.761580917224,500.761580917224
"G1","WY","Blacktail Deer Creek 2019-07-30","Blacktail Deer Creek",2019,"July",2019-07-30,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.015917508,14.3,16,0.6020129859,-0.01023289142,-0.01023289142,358.994313367813,358.994313367813
"C10","OR","McRae Creek 2019-08-03","McRae Creek",2019,"August",2019-08-03,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.016657244,10.8,11,-0.000824632197,-0.0010670639285,-0.0010670639285,0.135838567332427,0.135838567332427
"C4","OR","McRae Creek 2019-08-03","McRae Creek",2019,"August",2019-08-03,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.015771542,10.6,11,-0.003353484303,-0.0010670639285,-0.0010670639285,-1.35306512802194,0
"C5","OR","McRae Creek 2019-08-03","McRae Creek",2019,"August",2019-08-03,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.016326364,10.7,11,-0.001054440473,-0.0010670639285,-0.0010670639285,0.00721648237170257,0.00721648237170257
"C10","WA","Martha Creek 2019-08-06","Martha Creek",2019,"August",2019-08-06,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.01372677,16.2,18.2,-0.001241266866,-0.001451376399,-0.001451376399,0.142861161657112,0.142861161657112
"C11","WA","Martha Creek 2019-08-06","Martha Creek",2019,"August",2019-08-06,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.016359766,16.3,18.6,0.002867289622,-0.001451376399,-0.001451376399,2.46382188653147,2.46382188653147
"C12","WA","Martha Creek 2019-08-06","Martha Creek",2019,"August",2019-08-06,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.018311576,16.3,18.2,0.004058699467,-0.001451376399,-0.001451376399,2.8084625129663,2.8084625129663
"G2","WA","Martha Creek 2019-08-06","Martha Creek",2019,"August",2019-08-06,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.018082838,16.4,18.2,0.04646370945,-0.001451376399,-0.001451376399,24.7310443152784,24.7310443152784
"C1","MT","Blaine Creek 2019-08-10","Blaine Creek",2019,"August",2019-08-10,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.013375526,14.9,17.1,0.000123699242,-0.000473497316,-0.000473497316,0.416718904462773,0.416718904462773
"C10","MT","Blaine Creek 2019-08-10","Blaine Creek",2019,"August",2019-08-10,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.021538226,15.6,17.6,0.001630043664,-0.000473497316,-0.000473497316,0.911544393055708,0.911544393055708
"C2","MT","Blaine Creek 2019-08-10","Blaine Creek",2019,"August",2019-08-10,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.018656165,15,17.3,0.001776940212,-0.000473497316,-0.000473497316,1.12585215636047,1.12585215636047
"C2","MI","Pilgrim River 2019-09-09","Pilgrim River",2019,"September",2019-09-09,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.008319218,13.5,14.1,-9.7902291e-05,-0.001191720648,-0.001191720648,1.22715516434357,1.22715516434357
"D1","MI","Pilgrim River 2019-09-09","Pilgrim River",2019,"September",2019-09-09,"Nfixation_unamended","Nfixation","large Rock","large","Rock","Rock","NF","unamended","not","not","Light",0.012293872,13.1,14.2,-0.000487200288,-0.001191720648,-0.001191720648,0.534861869393142,0.534861869393142
"F3","UT","1300 E Red Butte Creek 2017-07-19","1300 E Red Butte Creek",2017,"July",2017-07-19,"Nfixation_unamended","Nfixation","large Rock","large","Rock Flock","Rock","NF","unamended","not","not","Light",0.013211,17.9,18.4,-0.00439,-0.001865,-0.001865,-1.78386697953725,0
"F8","UT","1300 E Red Butte Creek 2017-07-19","1300 E Red Butte Creek",2017,"July",2017-07-19,"Nfixation_unamended","Nfixation","large Rock","large","Rock Flock","Rock","NF","unamended","not","not","Light",0.019409138,18,18.1,0.00016,-0.001865,-0.001865,0.973768129218309,0.973768129218309
"D4","NH","Wednesday Hill Brook 2018-08-09","Wednesday Hill Brook",2018,"August",2018-08-09,"Nfixation_unamended","Nfixation","large Rock","large","Rock Flock","Rock","NF","unamended","not","not","Light",0.018928484,20.3,20.6,-0.07446,NA,0,-36.7150375064374,0
"D7","NH","Wednesday Hill Brook 2018-08-09","Wednesday Hill Brook",2018,"August",2018-08-09,"Nfixation_unamended","Nfixation","large Rock","large","Rock Flock","Rock","NF","unamended","not","not","Light",0.015397383,20.4,20.6,-0.22991,NA,0,-139.363076612868,0
"F1","NH","Wednesday Hill Brook 2018-08-09","Wednesday Hill Brook",2018,"August",2018-08-09,"Nfixation_unamended","Nfixation","large Rock","large","Rock Flock","Rock","NF","unamended","not","not","Light",0.017888386,20.4,20.6,-0.29669,NA,0,-154.799134291191,0
"G10","WI","Black Earth Creek 2017-08-08","Black Earth Creek",2017,"August",2017-08-08,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Light",0.017670541,17.7,18.2,0.2999502449,-0.004843607233,-0.004843607233,482.963586668003,482.963586668003
"H2","WI","Black Earth Creek 2017-08-08","Black Earth Creek",2017,"August",2017-08-08,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Light",0.011785558,17.4,17.9,0.2695390701,-0.004843607233,-0.004843607233,651.875368592985,651.875368592985
"G3","UT","1300 E Red Butte Creek 2017-07-19","1300 E Red Butte Creek",2017,"July",2017-07-19,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Light",0.017615966,18,19,0.03754312723,0,0,59.6735689907667,59.6735689907667
"G9","UT","1300 E Red Butte Creek 2017-07-19","1300 E Red Butte Creek",2017,"July",2017-07-19,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Light",0.018079852,18.1,18.5,0.02393317381,0,0,37.0649531135542,37.0649531135542
"G10","UT","1300 E Red Butte Creek 2017-07-19","1300 E Red Butte Creek",2017,"July",2017-07-19,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Light",0.017126092,18.1,18.5,0,0,0,0,0
"G4","UT","1300 E Red Butte Creek 2017-07-19","1300 E Red Butte Creek",2017,"July",2017-07-19,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Light",0.014158262,18.2,18.4,0.1049563767,0,0,207.566334596718,207.566334596718
"F4","UT","Lower Knowton Fork Red Butte Creek 2017-07-18","Lower Knowton Fork Red Butte Creek",2017,"July",2017-07-18,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Light",0.017116996,10.4,12,0,0,0,0,0
"F5","UT","Lower Knowton Fork Red Butte Creek 2017-07-18","Lower Knowton Fork Red Butte Creek",2017,"July",2017-07-18,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Light",0.02243544,10.1,12.1,0.03547481729,0,0,44.2734746508203,44.2734746508203
"G2","UT","Lower Knowton Fork Red Butte Creek 2017-07-18","Lower Knowton Fork Red Butte Creek",2017,"July",2017-07-18,"denitrification_amended","denitrification","large Rock","large","Rock","Rock","DA","amended","not","not","Light",0.019445521,11.1,12.2,-0.03025559009,0,0,-43.5656376869511,0
"F6","UT","Lower Knowton Fork Red Butte Creek 2017-07-18","Lower Knowton Fork Red Butte Creek",2017,"July",2017-07-18,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Light",0.018225384,10.1,12.2,NA,0,0,NA,NA
"G4","UT","Lower Knowton Fork Red Butte Creek 2017-07-18","Lower Knowton Fork Red Butte Creek",2017,"July",2017-07-18,"denitrification_unamended","denitrification","large Rock","large","Rock","Rock","DU","unamended","not","not","Light",0.015079537,10.9,12.3,0,0,0,0,0
